거래금액	건축년도	년	법정동	아파트	월	일	전용면적	지번	지역코드	층	date
81,500	2000	2018	청운동	청운현대	10	31	78.78	56-45	11110	4	201810
79,500	2005	2018	옥인동	세종아파트	10	7	115.92	56	11110	4	201810
141,500	2008	2018	사직동	광화문풍림스페이스본(101동~105동)	10	25	146.92	9	11110	11	201810
63,500	1983	2018	당주동	세종	10	15	91.46	100	11110	10	201810
99,000	2008	2018	견지동	대성스카이렉스	10	18	149.8	110	11110	14	201810
79,800	2006	2018	인의동	효성쥬얼리시티	10	29	98.39	48-2	11110	14	201810
18,600	2014	2018	연건동	이화에수풀	10	13	16.98	195-10	11110	6	201810
19,000	2014	2018	연건동	이화에수풀	10	25	16.98	195-10	11110	10	201810
51,000	2003	2018	명륜1가	송림아마레스아파트	10	1	84.62	2-12	11110	2	201810
43,700	2003	2018	명륜1가	리치캐슬아파트	10	3	75.6	33-85	11110	2	201810
78,000	2006	2018	명륜1가	렉스빌	10	7	135.79	19	11110	5	201810
54,000	1999	2018	명륜2가	아남3	10	29	50.49	237	11110	4	201810
75,000	1995	2018	명륜2가	아남1	10	29	84.9	4	11110	8	201810
45,500	1993	2018	창신동	창신쌍용2	10	3	64.66	703	11110	10	201810
61,900	2006	2018	창신동	브라운스톤창신	10	10	84.81	23-76	11110	5	201810
75,000	1999	2018	창신동	두산	10	10	84.9	232	11110	4	201810
23,800	1994	2018	창신동	창림	10	12	59.67	639-20	11110	2	201810
47,800	1993	2018	창신동	창신쌍용2	10	14	64.66	703	11110	11	201810
59,900	1999	2018	창신동	두산	10	15	59.95	232	11110	16	201810
59,000	1999	2018	창신동	두산	10	17	59.95	232	11110	11	201810
62,000	1992	2018	창신동	창신쌍용1	10	19	79.87	702	11110	8	201810
68,000	2006	2018	창신동	브라운스톤창신	10	31	84.87	23-76	11110	14	201810
33,600	2014	2018	숭인동	할리우드파크아파트	10	1	73.9	56-135	11110	3	201810
32,000	2014	2018	숭인동	할리우드파크아파트	10	12	73.9	56-135	11110	2	201810
12,400	2013	2018	숭인동	종로동광모닝스카이	10	12	15.855	1421-1	11110	16	201810
17,500	1997	2018	숭인동	오성	10	15	56.66	888	11110	5	201810
138,000	2009	2018	평창동	롯데캐슬 로잔	10	10	190.743	108	11110	5	201810
17,500	1997	2018	평창동	갑을	10	13	32.56	595	11110	6	201810
64,951	2000	2018	무악동	현대	10	11	84.92	82	11110	9	201810
